S0,S1,S2,S3,S4,S5,S6,S7,,,,,,
196,240,207.979,215.683,221.886,190.761,201.053,202.032,,,,,,
197,272,234.573,242.953,250.157,214.545,225.629,226.79,,,,,,
198,306,262.754,271.798,280.035,239.717,251.566,252.924,,,,,,
199,342,292.523,302.22,311.524,266.279,278.869,280.44,,,,,,
200,380,323.882,334.219,344.592,294.232,307.543,309.313,,,,,,
201,420,356.833,367.799,379.239,323.579,337.593,339.544,,,,,,
202,462,391.376,402.959,415.486,354.319,369.021,371.17,,,,,,
203,506,427.512,439.703,453.309,386.454,401.833,404.194,,,,,,
204,552,465.241,478.031,492.733,419.984,436.03,438.619,,,,,,
205,600,504.566,517.944,533.76,454.909,471.616,474.447,,,,,,
206,650,545.484,559.443,576.383,491.23,508.591,511.678,,,,,,
207,702,587.998,602.53,620.607,528.946,546.957,550.316,,,,,,
208,756,632.107,647.206,666.435,568.057,586.715,590.36,,,,,,
209,812,677.812,693.472,713.868,608.565,627.866,631.813,,,,,,
210,870,725.114,741.328,762.906,650.469,670.41,674.673,,,,,,
211,930,774.012,790.776,813.034,693.768,714.349,718.942,,,,,,
212,992,824.506,841.28,859.501,738.463,759.682,763.566,,,,,,
213,1056,876.391,887.823,900.852,784.555,803.733,804.67,,,,,,
214,1122,921.867,925.995,933.187,827.385,838.426,838.15,,,,,,
215,1190,953.074,950.966,954.278,854.48,860.432,859.588,,,,,,
216,1225,962.953,959.67,963.617,860.108,865.166,867.792,,,,,,
217,0,0,0,0,0,0,0,,,,,,
218,2,1.99327,1.99893,1.99944,1.99327,1.99893,1.99944,,,,,,
219,6,5.91588,5.97973,5.98521,5.91473,5.97961,5.98406,,,,,,
220,12,11.6088,11.8731,11.8953,11.591,11.8698,11.8913,,,,,,
221,20,18.9364,19.5718,19.6315,18.8458,19.5483,19.6023,,,,,,
222,30,27.8255,28.9698,29.0917,27.553,28.8794,28.9721,,,,,,
223,42,38.2499,39.97,40.1968,37.6402,39.7279,39.864,,,,,,
224,56,50.1885,52.5174,52.9019,49.0688,51.994,52.1641,,,,,,
225,72,63.6492,66.6096,67.2182,61.824,65.6441,65.8323,,,,,,
226,90,78.6525,82.2415,83.1431,75.9181,80.6477,80.8327,,,,,,
227,110,95.2195,99.4154,100.651,91.3591,96.9899,97.1486,,,,,,
228,132,113.36,118.137,119.761,108.145,114.666,114.757,,,,,,
229,156,133.083,138.414,140.478,126.297,133.676,133.673,,,,,,
230,182,154.394,160.24,162.76,145.822,154.026,153.907,,,,,,
231,210,177.296,183.626,186.586,166.725,175.722,175.471,,,,,,
232,240,201.793,208.585,211.992,189.012,198.77,198.374,,,,,,
233,272,227.886,235.122,239.011,212.685,223.177,222.624,,,,,,
234,306,255.576,263.242,267.635,237.747,248.949,248.235,,,,,,
235,342,284.865,292.941,297.841,264.2,276.092,275.213,,,,,,
236,380,315.753,324.213,329.661,292.046,304.609,303.564,,,,,,
237,420,348.239,357.077,363.099,321.285,334.505,333.287,,,,,,
238,462,382.325,391.534,398.153,351.918,365.784,364.394,,,,,,
239,506,418.009,427.587,434.81,383.946,398.447,396.89,,,,,,
240,552,455.292,465.23,473.071,417.369,432.497,430.767,,,,,,
241,600,494.173,504.468,512.944,452.188,467.936,466.034,,,,,,
242,650,534.653,545.297,554.437,488.402,504.766,502.702,,,,,,
243,702,576.731,587.722,597.548,526.011,542.987,540.764,,,,,,
244,756,620.407,631.746,642.28,565.017,582.6,580.231,,,,,,
245,812,665.682,677.369,688.631,605.418,623.607,621.101,,,,,,
246,870,712.554,724.59,736.603,647.215,666.008,663.379,,,,,,
247,930,761.025,773.41,786.194,690.408,709.802,707.069,,,,,,
248,992,811.093,823.829,834.242,734.997,754.992,751.823,,,,,,
249,1056,862.759,870.399,875.769,780.982,799.327,791.582,,,,,,
250,1122,909.343,908.4,908.005,824.161,834.333,824.798,,,,,,
251,1190,940.397,932.882,929.06,851.687,856.206,846.141,,,,,,
252,1225,950.737,941.752,939.232,858.532,862.831,854.692,,,,,,
253,0,0,0,0,0,0,0,,,,,,
254,2,1.97489,1.99374,1.99615,1.97489,1.99374,1.99615,,,,,,
255,6,5.78286,5.92517,5.94119,5.78266,5.92516,5.94119,,,,,,
256,12,11.1862,11.6452,11.6939,11.181,11.6445,11.6931,,,,,,
257,20,18.0721,19.0066,19.1095,18.0374,19,19.1013,,,,,,
258,30,26.4117,27.9124,28.0806,26.2875,27.8803,28.0382,,,,,,
259,42,36.2176,38.2923,38.5308,35.9031,38.1921,38.3901,,,,,,
260,56,47.516,50.1321,50.4507,46.8745,49.8893,50.1133,,,,,,
261,72,60.3347,63.4079,63.8067,59.2013,62.9332,63.1146,,,,,,
262,90,74.6983,78.1609,78.6603,72.8878,77.3183,77.4254,,,,,,
263,110,90.6265,94.4181,95.0266,87.9398,93.0566,93.0372,,,,,,
264,132,108.134,112.198,112.916,104.363,110.149,109.949,,,,,,
265,156,127.221,131.519,132.341,122.164,128.597,128.165,,,,,,
266,182,147.902,152.395,153.277,141.346,148.407,147.692,,,,,,
267,210,170.184,174.824,175.768,161.913,169.582,168.54,,,,,,
268,240,194.059,198.809,199.818,183.867,192.127,190.718,,,,,,
269,272,219.538,224.37,225.459,207.212,216.045,214.229,,,,,,
270,306,246.625,251.509,252.704,231.949,241.342,239.09,,,,,,
271,342,275.315,280.244,281.553,258.078,268.019,265.293,,,,,,
272,380,305.612,310.579,312.012,285.601,296.08,292.86,,,,,,
273,420,337.517,342.516,344.064,314.519,325.527,321.799,,,,,,
274,462,371.028,376.055,377.71,344.831,356.362,352.113,,,,,,
275,506,406.144,411.188,412.974,376.539,388.587,383.813,,,,,,
276,552,442.866,447.929,449.87,409.642,422.202,416.903,,,,,,
277,600,481.191,486.278,488.401,444.141,457.209,451.39,,,,,,
278,650,521.118,526.235,528.568,480.035,493.609,487.275,,,,,,
279,702,562.645,567.8,570.37,517.325,531.403,524.564,,,,,,
